George_W_Bush                 | George_W_Bush                 | correct   
Ariel_Sharon                  | Ricardo_Lagos                 | incorrect 
Ariel_Sharon                  | Mahmoud_Abbas                 | incorrect 
Ariel_Sharon                  | Ariel_Sharon                  | correct   
Ariel_Sharon                  | Kofi_Annan                    | incorrect 
Ariel_Sharon                  | Ariel_Sharon                  | correct   
Ariel_Sharon                  | Ariel_Sharon                  | correct   
Ariel_Sharon                  | Mahmoud_Abbas                 | incorrect 
Ariel_Sharon                  | Salma_Hayek                   | incorrect 
Alejandro_Toledo              | Mahmoud_Abbas                 | incorrect 
Alejandro_Toledo              | Roh_Moo-hyun                  | incorrect 
Alejandro_Toledo              | Ricardo_Lagos                 | incorrect 
Alejandro_Toledo              | Ariel_Sharon                  | incorrect 
Alejandro_Toledo              | Alejandro_Toledo              | correct   
Alejandro_Toledo              | Roh_Moo-hyun                  | incorrect 
Alejandro_Toledo              | Kofi_Annan                    | incorrect 
Alejandro_Toledo              | Megawati_Sukarnoputri         | incorrect 
Alejandro_Toledo              | Ricardo_Lagos                 | incorrect 
Alejandro_Toledo              | Alejandro_Toledo              | correct   
Alejandro_Toledo              | Roh_Moo-hyun                  | incorrect 
Alejandro_Toledo              | * NOT IN DB *                 | incorrect 
Alejandro_Toledo              | Megawati_Sukarnoputri         | incorrect 
Morgan_Freeman                | Morgan_Freeman                | correct   
Morgan_Freeman                | Morgan_Freeman                | correct   
Morgan_Freeman                | Morgan_Freeman                | correct   
Morgan_Freeman                | Morgan_Freeman                | correct   
Morgan_Freeman                | Morgan_Freeman                | correct   
Morgan_Freeman                | Ariel_Sharon                  | incorrect 
Morgan_Freeman                | * NO FACE FOUND *             |
Morgan_Freeman                | Ariel_Sharon                  | incorrect 
Morgan_Freeman                | Morgan_Freeman                | correct   
Morgan_Freeman                | Eugenio_Derbez                | incorrect 
Denzel_Washington             | Alejandro_Toledo              | incorrect 
Denzel_Washington             | Morgan_Freeman                | incorrect 
Denzel_Washington             | Roh_Moo-hyun                  | incorrect 
Denzel_Washington             | Ricardo_Lagos                 | incorrect 
Denzel_Washington             | Morgan_Freeman                | incorrect 
Denzel_Washington             | Salma_Hayek                   | incorrect 
Denzel_Washington             | Mahmoud_Abbas                 | incorrect 
Denzel_Washington             | Mahmoud_Abbas                 | incorrect 
Roh_Moo-hyun                  | Eugenio_Derbez                | incorrect 
Roh_Moo-hyun                  | Roh_Moo-hyun                  | correct   
Roh_Moo-hyun                  | Roh_Moo-hyun                  | correct   
Roh_Moo-hyun                  | Jennifer_Aniston              | incorrect 
Roh_Moo-hyun                  | Roh_Moo-hyun                  | correct   
Roh_Moo-hyun                  | Chris_Evans                   | incorrect 
Roh_Moo-hyun                  | * NOT IN DB *                 | incorrect 
Roh_Moo-hyun                  | Roh_Moo-hyun                  | correct   
Roh_Moo-hyun                  | Roh_Moo-hyun                  | correct   
Roh_Moo-hyun                  | Roh_Moo-hyun                  | correct   
Roh_Moo-hyun                  | Roh_Moo-hyun                  | correct   
Roh_Moo-hyun                  | Roh_Moo-hyun                  | correct   
Roh_Moo-hyun                  | Roh_Moo-hyun                  | correct   
Guillermo_Coria               | Guillermo_Coria               | correct   
Guillermo_Coria               | Guillermo_Coria               | correct   
Guillermo_Coria               | Guillermo_Coria               | correct   
Guillermo_Coria               | Guillermo_Coria               | correct   
Guillermo_Coria               | * NOT IN DB *                 | incorrect 
Guillermo_Coria               | Guillermo_Coria               | correct   
Guillermo_Coria               | Guillermo_Coria               | correct   
Guillermo_Coria               | Guillermo_Coria               | correct   
Guillermo_Coria               | Guillermo_Coria               | correct   
Guillermo_Coria               | Guillermo_Coria               | correct   
Guillermo_Coria               | Guillermo_Coria               | correct   
Guillermo_Coria               | Uzmar_Gomez                   | incorrect 
Megawati_Sukarnoputri         | Megawati_Sukarnoputri         | correct   
Megawati_Sukarnoputri         | Megawati_Sukarnoputri         | correct   
Megawati_Sukarnoputri         | Megawati_Sukarnoputri         | correct   
Megawati_Sukarnoputri         | Megawati_Sukarnoputri         | correct   
Megawati_Sukarnoputri         | Megawati_Sukarnoputri         | correct   
Megawati_Sukarnoputri         | Megawati_Sukarnoputri         | correct   
Megawati_Sukarnoputri         | Megawati_Sukarnoputri         | correct   
Megawati_Sukarnoputri         | Megawati_Sukarnoputri         | correct   
Megawati_Sukarnoputri         | Megawati_Sukarnoputri         | correct   
Ricardo_Lagos                 | George_W_Bush                 | incorrect 
Ricardo_Lagos                 | Ricardo_Lagos                 | correct   
Ricardo_Lagos                 | Ricardo_Lagos                 | correct   
Ricardo_Lagos                 | Morgan_Freeman                | incorrect 
Ricardo_Lagos                 | Ricardo_Lagos                 | correct   
Ricardo_Lagos                 | Ricardo_Lagos                 | correct   
Ricardo_Lagos                 | Hans_Blix                     | incorrect 
Ricardo_Lagos                 | Ricardo_Lagos                 | correct   
Ricardo_Lagos                 | Ricardo_Lagos                 | correct   
Ricardo_Lagos                 | Ariel_Sharon                  | incorrect 
Ricardo_Lagos                 | Eugenio_Derbez                | incorrect 
Mahmoud_Abbas                 | Mahmoud_Abbas                 | correct   
Mahmoud_Abbas                 | Mahmoud_Abbas                 | correct   
Mahmoud_Abbas                 | Mahmoud_Abbas                 | correct   
Mahmoud_Abbas                 | Scarlett_Johansson            | incorrect 
Mahmoud_Abbas                 | Mahmoud_Abbas                 | correct   
Mahmoud_Abbas                 | Ariel_Sharon                  | incorrect 
Mahmoud_Abbas                 | Kofi_Annan                    | incorrect 
Mahmoud_Abbas                 | Uzmar_Gomez                   | incorrect 
Will_Smith                    | Eugenio_Derbez                | incorrect 
Will_Smith                    | Jennifer_Aniston              | incorrect 
Will_Smith                    | Mahmoud_Abbas                 | incorrect 
Will_Smith                    | Salma_Hayek                   | incorrect 
Will_Smith                    | Eugenio_Derbez                | incorrect 
Will_Smith                    | Denzel_Washington             | incorrect 
Eugenio_Derbez                | Eugenio_Derbez                | correct   
Eugenio_Derbez                | Roh_Moo-hyun                  | incorrect 
Eugenio_Derbez                | Roh_Moo-hyun                  | incorrect 
Eugenio_Derbez                | Ryan_Gosling                  | incorrect 
Eugenio_Derbez                | Daniel_Radcliffe              | incorrect 
Eugenio_Derbez                | Eugenio_Derbez                | correct   
Eugenio_Derbez                | Eugenio_Derbez                | correct   
Eugenio_Derbez                | Uzmar_Gomez                   | incorrect 
Eugenio_Derbez                | Eugenio_Derbez                | correct   
Emma_Watson                   | Denzel_Washington             | incorrect 
Emma_Watson                   | Megawati_Sukarnoputri         | incorrect 
Emma_Watson                   | Salma_Hayek                   | incorrect 
Emma_Watson                   | Uzmar_Gomez                   | incorrect 
Emma_Watson                   | Emma_Watson                   | correct   
Emma_Watson                   | Ariel_Sharon                  | incorrect 
Emma_Watson                   | Emma_Watson                   | correct   
Emma_Watson                   | Eugenio_Derbez                | incorrect 
Emma_Watson                   | Chris_Evans                   | incorrect 
