George_W_Bush                 | Emma_Watson                   | incorrect 
Ariel_Sharon                  | Mahmoud_Abbas                 | incorrect 
Ariel_Sharon                  | Ariel_Sharon                  | correct   
Ariel_Sharon                  | Kofi_Annan                    | incorrect 
Ariel_Sharon                  | Ariel_Sharon                  | correct   
Ariel_Sharon                  | Ariel_Sharon                  | correct   
Ariel_Sharon                  | Ariel_Sharon                  | correct   
Ariel_Sharon                  | Ariel_Sharon                  | correct   
Alejandro_Toledo              | Mahmoud_Abbas                 | incorrect 
Alejandro_Toledo              | Megawati_Sukarnoputri         | incorrect 
Alejandro_Toledo              | Ricardo_Lagos                 | incorrect 
Alejandro_Toledo              | * NOT IN DB *                 | incorrect 
Alejandro_Toledo              | Salma_Hayek                   | incorrect 
Alejandro_Toledo              | Roh_Moo-hyun                  | incorrect 
Alejandro_Toledo              | Kofi_Annan                    | incorrect 
Alejandro_Toledo              | Megawati_Sukarnoputri         | incorrect 
Alejandro_Toledo              | Roh_Moo-hyun                  | incorrect 
Alejandro_Toledo              | Alejandro_Toledo              | correct   
Alejandro_Toledo              | Roh_Moo-hyun                  | incorrect 
Alejandro_Toledo              | * NOT IN DB *                 | incorrect 
Alejandro_Toledo              | * NOT IN DB *                 | incorrect 
Morgan_Freeman                | Morgan_Freeman                | correct   
Morgan_Freeman                | Morgan_Freeman                | correct   
Morgan_Freeman                | * NOT IN DB *                 | incorrect 
Morgan_Freeman                | Morgan_Freeman                | correct   
Morgan_Freeman                | Morgan_Freeman                | correct   
Morgan_Freeman                | Daniel_Radcliffe              | incorrect 
Morgan_Freeman                | * NO FACE FOUND *             |
Morgan_Freeman                | Ariel_Sharon                  | incorrect 
Morgan_Freeman                | Morgan_Freeman                | correct   
Morgan_Freeman                | * NOT IN DB *                 | incorrect 
Denzel_Washington             | Roh_Moo-hyun                  | incorrect 
Denzel_Washington             | Morgan_Freeman                | incorrect 
Denzel_Washington             | Denzel_Washington             | correct   
Denzel_Washington             | Ricardo_Lagos                 | incorrect 
Denzel_Washington             | Uzmar_Gomez                   | incorrect 
Denzel_Washington             | Ryan_Gosling                  | incorrect 
Denzel_Washington             | Ricardo_Lagos                 | incorrect 
Denzel_Washington             | * NOT IN DB *                 | incorrect 
Roh_Moo-hyun                  | Roh_Moo-hyun                  | correct   
Roh_Moo-hyun                  | Roh_Moo-hyun                  | correct   
Roh_Moo-hyun                  | Roh_Moo-hyun                  | correct   
Roh_Moo-hyun                  | Roh_Moo-hyun                  | correct   
Roh_Moo-hyun                  | Alejandro_Toledo              | incorrect 
Roh_Moo-hyun                  | Roh_Moo-hyun                  | correct   
Roh_Moo-hyun                  | Eugenio_Derbez                | incorrect 
Roh_Moo-hyun                  | Roh_Moo-hyun                  | correct   
Roh_Moo-hyun                  | Roh_Moo-hyun                  | correct   
Roh_Moo-hyun                  | Roh_Moo-hyun                  | correct   
Roh_Moo-hyun                  | Roh_Moo-hyun                  | correct   
Roh_Moo-hyun                  | Roh_Moo-hyun                  | correct   
Roh_Moo-hyun                  | Roh_Moo-hyun                  | correct   
Guillermo_Coria               | Guillermo_Coria               | correct   
Guillermo_Coria               | Guillermo_Coria               | correct   
Guillermo_Coria               | Guillermo_Coria               | correct   
Guillermo_Coria               | Guillermo_Coria               | correct   
Guillermo_Coria               | Guillermo_Coria               | correct   
Guillermo_Coria               | Guillermo_Coria               | correct   
Guillermo_Coria               | Guillermo_Coria               | correct   
Guillermo_Coria               | Guillermo_Coria               | correct   
Guillermo_Coria               | Roh_Moo-hyun                  | incorrect 
Guillermo_Coria               | * NOT IN DB *                 | incorrect 
Guillermo_Coria               | Guillermo_Coria               | correct   
Guillermo_Coria               | Uzmar_Gomez                   | incorrect 
Megawati_Sukarnoputri         | Megawati_Sukarnoputri         | correct   
Megawati_Sukarnoputri         | Megawati_Sukarnoputri         | correct   
Megawati_Sukarnoputri         | Megawati_Sukarnoputri         | correct   
Megawati_Sukarnoputri         | Megawati_Sukarnoputri         | correct   
Megawati_Sukarnoputri         | Jennifer_Aniston              | incorrect 
Megawati_Sukarnoputri         | Megawati_Sukarnoputri         | correct   
Megawati_Sukarnoputri         | Megawati_Sukarnoputri         | correct   
Megawati_Sukarnoputri         | Megawati_Sukarnoputri         | correct   
Megawati_Sukarnoputri         | * NOT IN DB *                 | incorrect 
Ricardo_Lagos                 | George_W_Bush                 | incorrect 
Ricardo_Lagos                 | Ricardo_Lagos                 | correct   
Ricardo_Lagos                 | George_W_Bush                 | incorrect 
Ricardo_Lagos                 | Mahmoud_Abbas                 | incorrect 
Ricardo_Lagos                 | Ricardo_Lagos                 | correct   
Ricardo_Lagos                 | Ricardo_Lagos                 | correct   
Ricardo_Lagos                 | * NOT IN DB *                 | incorrect 
Ricardo_Lagos                 | Ricardo_Lagos                 | correct   
Ricardo_Lagos                 | * NOT IN DB *                 | incorrect 
Ricardo_Lagos                 | Ariel_Sharon                  | incorrect 
Ricardo_Lagos                 | Eugenio_Derbez                | incorrect 
Mahmoud_Abbas                 | Chris_Evans                   | incorrect 
Mahmoud_Abbas                 | Mahmoud_Abbas                 | correct   
Mahmoud_Abbas                 | Mahmoud_Abbas                 | correct   
Mahmoud_Abbas                 | * NOT IN DB *                 | incorrect 
Mahmoud_Abbas                 | Mahmoud_Abbas                 | correct   
Mahmoud_Abbas                 | Ariel_Sharon                  | incorrect 
Mahmoud_Abbas                 | Morgan_Freeman                | incorrect 
Mahmoud_Abbas                 | Morgan_Freeman                | incorrect 
Will_Smith                    | Eugenio_Derbez                | incorrect 
Will_Smith                    | * NOT IN DB *                 | incorrect 
Will_Smith                    | Kofi_Annan                    | incorrect 
Will_Smith                    | * NOT IN DB *                 | incorrect 
Will_Smith                    | Denzel_Washington             | incorrect 
Will_Smith                    | Morgan_Freeman                | incorrect 
Eugenio_Derbez                | Eugenio_Derbez                | correct   
Eugenio_Derbez                | * NOT IN DB *                 | incorrect 
Eugenio_Derbez                | Roh_Moo-hyun                  | incorrect 
Eugenio_Derbez                | Uzmar_Gomez                   | incorrect 
Eugenio_Derbez                | Daniel_Radcliffe              | incorrect 
Eugenio_Derbez                | Eugenio_Derbez                | correct   
Eugenio_Derbez                | Eugenio_Derbez                | correct   
Eugenio_Derbez                | Eugenio_Derbez                | correct   
Eugenio_Derbez                | Eugenio_Derbez                | correct   
Emma_Watson                   | Denzel_Washington             | incorrect 
Emma_Watson                   | Emma_Watson                   | correct   
Emma_Watson                   | Salma_Hayek                   | incorrect 
Emma_Watson                   | Uzmar_Gomez                   | incorrect 
Emma_Watson                   | Emma_Watson                   | correct   
Emma_Watson                   | * NOT IN DB *                 | incorrect 
Emma_Watson                   | * NOT IN DB *                 | incorrect 
Emma_Watson                   | Scarlett_Johansson            | incorrect 
Emma_Watson                   | Guillermo_Coria               | incorrect 
